Percentage served,Time in ms
0,2.223
1,5.271
2,5.630
3,5.765
4,5.834
5,5.888
6,5.930
7,5.966
8,5.995
9,6.021
10,6.045
11,6.064
12,6.084
13,6.102
14,6.119
15,6.136
16,6.151
17,6.166
18,6.181
19,6.196
20,6.209
21,6.222
22,6.236
23,6.249
24,6.264
25,6.278
26,6.290
27,6.301
28,6.313
29,6.324
30,6.335
31,6.346
32,6.358
33,6.369
34,6.381
35,6.392
36,6.403
37,6.414
38,6.425
39,6.436
40,6.447
41,6.459
42,6.470
43,6.480
44,6.491
45,6.502
46,6.514
47,6.524
48,6.537
49,6.548
50,6.559
51,6.571
52,6.583
53,6.594
54,6.605
55,6.619
56,6.633
57,6.647
58,6.660
59,6.672
60,6.685
61,6.700
62,6.714
63,6.728
64,6.744
65,6.759
66,6.775
67,6.792
68,6.809
69,6.828
70,6.845
71,6.864
72,6.886
73,6.908
74,6.927
75,6.950
76,6.974
77,6.999
78,7.026
79,7.055
80,7.083
81,7.113
82,7.145
83,7.181
84,7.220
85,7.260
86,7.305
87,7.356
88,7.415
89,7.473
90,7.555
91,7.639
92,7.726
93,7.830
94,7.960
95,8.099
96,8.311
97,8.603
98,9.046
99,10.288
100,38.252
