Percentage served,Time in ms
0,2.088
1,8.443
2,8.627
3,8.691
4,8.735
5,8.763
6,8.789
7,8.810
8,8.829
9,8.845
10,8.861
11,8.875
12,8.888
13,8.901
14,8.914
15,8.925
16,8.935
17,8.945
18,8.955
19,8.965
20,8.975
21,8.985
22,8.994
23,9.003
24,9.012
25,9.020
26,9.029
27,9.037
28,9.045
29,9.053
30,9.062
31,9.069
32,9.077
33,9.085
34,9.092
35,9.099
36,9.107
37,9.114
38,9.122
39,9.130
40,9.138
41,9.146
42,9.153
43,9.161
44,9.168
45,9.176
46,9.183
47,9.191
48,9.198
49,9.206
50,9.213
51,9.220
52,9.227
53,9.235
54,9.243
55,9.251
56,9.258
57,9.267
58,9.275
59,9.282
60,9.290
61,9.297
62,9.306
63,9.314
64,9.322
65,9.331
66,9.340
67,9.349
68,9.358
69,9.367
70,9.376
71,9.387
72,9.396
73,9.406
74,9.416
75,9.427
76,9.438
77,9.449
78,9.460
79,9.473
80,9.484
81,9.496
82,9.509
83,9.523
84,9.536
85,9.550
86,9.566
87,9.582
88,9.600
89,9.621
90,9.644
91,9.668
92,9.702
93,9.737
94,9.779
95,9.827
96,9.900
97,10.027
98,10.222
99,10.697
100,45.554
