Percentage served,Time in ms
0,0.656
1,1.341
2,1.377
3,1.399
4,1.414
5,1.424
6,1.434
7,1.441
8,1.448
9,1.454
10,1.460
11,1.466
12,1.471
13,1.475
14,1.480
15,1.484
16,1.488
17,1.492
18,1.497
19,1.500
20,1.504
21,1.508
22,1.511
23,1.514
24,1.518
25,1.521
26,1.524
27,1.527
28,1.530
29,1.533
30,1.536
31,1.539
32,1.542
33,1.545
34,1.548
35,1.551
36,1.553
37,1.556
38,1.559
39,1.562
40,1.565
41,1.568
42,1.571
43,1.574
44,1.577
45,1.580
46,1.583
47,1.586
48,1.589
49,1.592
50,1.595
51,1.598
52,1.601
53,1.604
54,1.608
55,1.611
56,1.615
57,1.618
58,1.621
59,1.625
60,1.629
61,1.632
62,1.636
63,1.640
64,1.644
65,1.648
66,1.652
67,1.656
68,1.660
69,1.665
70,1.670
71,1.674
72,1.680
73,1.685
74,1.690
75,1.696
76,1.702
77,1.708
78,1.715
79,1.722
80,1.728
81,1.736
82,1.742
83,1.748
84,1.757
85,1.766
86,1.774
87,1.782
88,1.791
89,1.800
90,1.810
91,1.820
92,1.831
93,1.843
94,1.857
95,1.874
96,1.893
97,1.914
98,1.945
99,1.993
100,19.080
