Percentage served,Time in ms
0,0.516
1,0.930
2,0.949
3,0.963
4,0.976
5,0.987
6,1.000
7,1.014
8,1.028
9,1.045
10,1.064
11,1.086
12,1.108
13,1.129
14,1.145
15,1.159
16,1.169
17,1.178
18,1.187
19,1.195
20,1.201
21,1.208
22,1.213
23,1.218
24,1.223
25,1.228
26,1.233
27,1.237
28,1.242
29,1.246
30,1.250
31,1.254
32,1.258
33,1.262
34,1.266
35,1.269
36,1.273
37,1.276
38,1.280
39,1.283
40,1.286
41,1.289
42,1.293
43,1.296
44,1.300
45,1.303
46,1.306
47,1.310
48,1.313
49,1.316
50,1.320
51,1.323
52,1.326
53,1.330
54,1.333
55,1.336
56,1.339
57,1.342
58,1.346
59,1.349
60,1.352
61,1.355
62,1.358
63,1.361
64,1.365
65,1.368
66,1.371
67,1.375
68,1.379
69,1.383
70,1.387
71,1.391
72,1.395
73,1.399
74,1.404
75,1.409
76,1.414
77,1.418
78,1.423
79,1.428
80,1.434
81,1.440
82,1.445
83,1.451
84,1.458
85,1.465
86,1.472
87,1.481
88,1.490
89,1.500
90,1.511
91,1.525
92,1.540
93,1.560
94,1.584
95,1.613
96,1.645
97,1.679
98,1.718
99,1.773
100,2.132
