Percentage served,Time in ms
0,0.444
1,2.008
2,2.021
3,2.028
4,2.034
5,2.038
6,2.042
7,2.046
8,2.050
9,2.053
10,2.056
11,2.058
12,2.061
13,2.063
14,2.065
15,2.068
16,2.070
17,2.072
18,2.074
19,2.076
20,2.078
21,2.080
22,2.082
23,2.083
24,2.085
25,2.087
26,2.089
27,2.091
28,2.093
29,2.094
30,2.096
31,2.097
32,2.099
33,2.100
34,2.102
35,2.103
36,2.105
37,2.106
38,2.107
39,2.109
40,2.110
41,2.111
42,2.113
43,2.114
44,2.116
45,2.117
46,2.118
47,2.120
48,2.121
49,2.123
50,2.124
51,2.125
52,2.127
53,2.128
54,2.130
55,2.131
56,2.133
57,2.134
58,2.136
59,2.137
60,2.139
61,2.140
62,2.142
63,2.143
64,2.144
65,2.146
66,2.147
67,2.149
68,2.150
69,2.152
70,2.153
71,2.155
72,2.157
73,2.158
74,2.160
75,2.161
76,2.163
77,2.165
78,2.167
79,2.169
80,2.171
81,2.173
82,2.175
83,2.177
84,2.180
85,2.183
86,2.186
87,2.189
88,2.193
89,2.198
90,2.205
91,2.214
92,2.227
93,2.250
94,2.329
95,2.375
96,2.401
97,2.445
98,2.561
99,2.687
100,39.168
