Percentage served,Time in ms
0,0.884
1,1.437
2,1.659
3,1.806
4,1.939
5,2.049
6,2.149
7,2.242
8,2.311
9,2.382
10,2.453
11,2.562
12,2.721
13,2.864
14,3.001
15,3.127
16,3.243
17,3.341
18,3.466
19,3.576
20,3.675
21,3.771
22,3.866
23,3.992
24,4.128
25,4.252
26,4.371
27,4.481
28,4.565
29,4.654
30,4.749
31,4.857
32,4.977
33,5.101
34,5.230
35,5.373
36,5.513
37,5.629
38,5.747
39,5.864
40,5.965
41,6.063
42,6.156
43,6.269
44,6.393
45,6.522
46,6.665
47,6.786
48,6.891
49,6.997
50,7.109
51,7.235
52,7.366
53,7.496
54,7.633
55,7.772
56,7.910
57,8.039
58,8.153
59,8.257
60,8.369
61,8.476
62,8.608
63,8.747
64,8.890
65,9.036
66,9.168
67,9.291
68,9.421
69,9.555
70,9.698
71,9.848
72,9.986
73,10.126
74,10.263
75,10.427
76,10.557
77,10.689
78,10.807
79,10.941
80,11.125
81,11.287
82,11.455
83,11.622
84,11.766
85,11.923
86,12.088
87,12.271
88,12.481
89,12.680
90,12.874
91,13.073
92,13.302
93,13.587
94,13.847
95,14.149
96,14.480
97,14.931
98,15.526
99,16.737
100,49.069
