Percentage served,Time in ms
0,1.793
1,41.243
2,41.696
3,41.764
4,41.812
5,41.849
6,41.885
7,41.912
8,41.935
9,41.954
10,41.976
11,41.996
12,42.013
13,42.030
14,42.047
15,42.062
16,42.078
17,42.093
18,42.107
19,42.122
20,42.136
21,42.149
22,42.163
23,42.178
24,42.192
25,42.205
26,42.217
27,42.229
28,42.241
29,42.253
30,42.263
31,42.273
32,42.283
33,42.292
34,42.303
35,42.312
36,42.322
37,42.331
38,42.340
39,42.350
40,42.361
41,42.372
42,42.382
43,42.392
44,42.402
45,42.414
46,42.425
47,42.435
48,42.447
49,42.457
50,42.467
51,42.477
52,42.487
53,42.498
54,42.509
55,42.520
56,42.531
57,42.542
58,42.553
59,42.565
60,42.576
61,42.587
62,42.598
63,42.609
64,42.622
65,42.635
66,42.645
67,42.657
68,42.669
69,42.682
70,42.695
71,42.709
72,42.723
73,42.737
74,42.752
75,42.764
76,42.780
77,42.795
78,42.811
79,42.827
80,42.842
81,42.859
82,42.877
83,42.898
84,42.917
85,42.940
86,42.967
87,42.996
88,43.027
89,43.061
90,43.096
91,43.130
92,43.172
93,43.221
94,43.282
95,43.370
96,43.515
97,43.669
98,44.054
99,44.622
100,52.497
